rn:R01903	ec:1.1.1.12
rn:R01481	ec:1.1.1.19
rn:R01481	ec:1.1.1.2
rn:R02640	ec:1.1.1.45
rn:R01905	ec:4.1.1.34
rn:R01526	ec:2.7.1.16
rn:R01526	ec:2.7.1.47
rn:R01016	ec:4.2.3.3
rn:R00931	ec:2.3.3.5
rn:R01244	ec:3.5.4.2
rn:R00974	ec:3.5.4.1
rn:R00185	ec:2.7.1.20
rn:R00963	ec:3.1.3.5
rn:R00513	ec:2.7.1.213
rn:R00513	ec:2.7.1.48
rn:R01131	ec:2.7.1.73
rn:R00401	ec:5.1.1.1
rn:R03758	ec:1.1.1.381
rn:R00751	ec:4.1.2.48
rn:R00751	ec:4.1.2.5
rn:R00447	ec:1.4.3.14
rn:R02201	ec:1.5.1.1
rn:R03445	ec:2.6.1.63
rn:R03445	ec:2.6.1.7
rn:R03954	ec:2.6.1.63
rn:R03954	ec:2.6.1.7
rn:R02539	ec:6.2.1.30
rn:R02576	ec:2.3.1.14
rn:R02408	ec:4.4.1.1
rn:R02408	ec:4.4.1.13
rn:R02408	ec:4.4.1.35
rn:R01914	ec:1.5.3.14
rn:R01914	ec:1.5.99.6
rn:R02328	ec:2.7.7.24
rn:R10183	ec:2.7.7.83
rn:R06514	ec:5.1.3.13
rn:R02777	ec:1.1.1.133
rn:R01393	ec:4.1.1.40
rn:R00465	ec:1.1.1.79
rn:R08572	ec:2.7.1.165
rn:R07057	ec:1.13.11.58
rn:R04552	ec:1.1.1.197
rn:R00521	ec:3.1.2.10
rn:R02209	ec:1.1.1.149
rn:R03437	ec:2.3.1.67
rn:R02683	ec:1.1.1.141
rn:R02800	ec:1.1.1.196
rn:R08723	ec:1.1.1.181
rn:R05974	ec:2.4.1.149
rn:R03347	ec:2.7.1.173
rn:R03330	ec:3.1.3.64
rn:R06875	ec:3.1.3.64
rn:R07299	ec:3.1.3.66
rn:R03363	ec:3.1.3.64
rn:R03363	ec:3.1.3.67
rn:R04545	ec:2.7.1.153
rn:R04404	ec:3.1.3.36
rn:R05795	ec:2.7.1.154
rn:R03361	ec:2.7.1.67
rn:R03469	ec:2.7.1.68
rn:R05803	ec:2.7.1.149
rn:R03362	ec:2.7.1.137
rn:R03362	ec:2.7.1.154
rn:R09395	ec:2.8.1.12
rn:R02933	ec:3.1.1.17
rn:R02933	ec:3.1.1.25
rn:R01108	ec:1.8.5.1
rn:R04785	ec:3.1.1.17
