Row,CNSSurfaceAssociatedGlialCell,adultFatBody,adultGlialCell,adultHindgut,adultOenocyte,adultPeripheralNervousSystem,adultReticularNeuropilAssociatedGlialCell,adultTrachealCell,adultVentralNervousSystem,cellBodyGlialCell,enteroendocrineCell,eoSupportCell,epithelialCell,escortCell,femaleReproductiveSystem,follicleCell,follicleCellSt_9_,germlineCell,gustatoryReceptorNeuron,hemocyte,indirectFlightMuscle,legMuscleMotorNeuron,legTasteBristleChemosensoryNeuron,maleAccessoryGland,multidendriticNeuron,muscleCell,perineurialGlialSheath,polarFollicleCell,prefollicleCell_stalkFollicleCell,scolopidialNeuron,spermatocyte,subperineurialGlialCell
"Acyl-CoA hydrolysis",-100,966.666666666667,-100,-100,966.666666666667,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,966.666666666667,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Androgen metabolism",45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,-27.2727272727273,-27.2727272727273,45.4545454545455,45.4545454545455,-100,45.4545454545455,-27.2727272727273,45.4545454545455,45.4545454545455,-27.2727272727273,45.4545454545455,45.4545454545455,-27.2727272727273,118.181818181818,-100,-27.2727272727273,-27.2727272727273,-27.2727272727273,-27.2727272727273,45.4545454545455,-100,-100,45.4545454545455,-100,-27.2727272727273,-27.2727272727273,45.4545454545455,45.4545454545455
"Beta oxidation of branched-chain fatty acids (mitochondrial)",-100,146.153846153846,146.153846153846,-100,146.153846153846,-100,-100,146.153846153846,-100,-100,-100,146.153846153846,146.153846153846,-100,146.153846153846,146.153846153846,-100,146.153846153846,-100,146.153846153846,-100,-100,-100,146.153846153846,-100,-100,146.153846153846,-100,-100,-100,-100,146.153846153846
"Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)",-100,700,-100,-100,700,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,700,-100,-100,-100,-100,-100,-100,-100,-100,-100,700,-100,-100,-100,-100
"Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)",146.153846153846,146.153846153846,-100,146.153846153846,146.153846153846,-100,-100,-100,-100,-100,146.153846153846,146.153846153846,146.153846153846,-100,146.153846153846,146.153846153846,-100,-100,-100,146.153846153846,-100,146.153846153846,-100,-100,-100,-100,146.153846153846,-100,146.153846153846,-100,-100,-100
"Beta oxidation of even-chain fatty acids (peroxisomal)",-53.7906137184115,454.512635379061,-42.2382671480144,188.808664259928,454.512635379061,-88.4476534296029,-88.4476534296029,-88.4476534296029,-88.4476534296029,-88.4476534296029,-65.3429602888087,-65.3429602888087,3.97111913357401,-76.8953068592058,-65.3429602888087,-65.3429602888087,408.303249097473,419.85559566787,-76.8953068592058,-65.3429602888087,-88.4476534296029,-65.3429602888087,-88.4476534296029,-88.4476534296029,-88.4476534296029,-42.2382671480144,-65.3429602888087,-88.4476534296029,-30.6859205776173,-88.4476534296029,-88.4476534296029,-88.4476534296029
"Beta oxidation of odd-chain fatty acids (mitochondrial)",-88.0597014925373,126.865671641791,126.865671641791,55.2238805970149,126.865671641791,-88.0597014925373,-22.3880597014925,97.0149253731343,-88.0597014925373,-64.1791044776119,-46.2686567164179,126.865671641791,126.865671641791,-52.2388059701493,126.865671641791,19.4029850746269,-76.1194029850746,126.865671641791,-88.0597014925373,31.3432835820896,-88.0597014925373,-88.0597014925373,-88.0597014925373,79.1044776119403,-88.0597014925373,-76.1194029850746,97.0149253731343,-88.0597014925373,-88.0597014925373,-88.0597014925373,-88.0597014925373,126.865671641791
"Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)",-41.8181818181818,365.454545454545,-100,190.909090909091,365.454545454545,-100,-100,-100,-100,-100,-41.8181818181818,-41.8181818181818,-41.8181818181818,365.454545454545,-41.8181818181818,-41.8181818181818,365.454545454545,365.454545454545,-100,-41.8181818181818,-100,-41.8181818181818,-100,-100,-100,-100,-41.8181818181818,-100,-41.8181818181818,-100,-100,-100
"Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)",-29.559748427673,272.327044025157,-59.748427672956,141.509433962264,262.264150943396,-59.748427672956,-59.748427672956,-59.748427672956,-59.748427672956,-59.748427672956,-29.559748427673,-29.559748427673,-19.4968553459119,30.8176100628931,-29.559748427673,-29.559748427673,272.327044025157,262.264150943396,-59.748427672956,-29.559748427673,-59.748427672956,-29.559748427673,-59.748427672956,-59.748427672956,-59.748427672956,-59.748427672956,-29.559748427673,-59.748427672956,-29.559748427673,-59.748427672956,-59.748427672956,-59.748427672956
"Biopterin metabolism",18.5185185185185,117.283950617284,8.64197530864197,67.9012345679012,-1.23456790123457,-60.4938271604938,28.3950617283951,67.9012345679012,-60.4938271604938,8.64197530864197,-60.4938271604938,-1.23456790123457,97.5308641975309,28.3950617283951,97.5308641975309,67.9012345679012,-70.3703703703704,8.64197530864197,-50.6172839506173,67.9012345679012,-70.3703703703704,18.5185185185185,-60.4938271604938,-1.23456790123457,-60.4938271604938,-70.3703703703704,-30.8641975308642,-1.23456790123457,-70.3703703703704,-60.4938271604938,28.3950617283951,-1.23456790123457
