Tissue,PassRate
germlineCell,0.301369863013699
adultFatBody,0.237442922374429
subperineurialGlialCell,0.228310502283105
adultOenocyte,0.223744292237443
enteroendocrineCell,0.219178082191781
femaleReproductiveSystem,0.219178082191781
maleAccessoryGland,0.219178082191781
adultTrachealCell,0.210045662100457
cellBodyGlialCell,0.205479452054795
adultHindgut,0.200913242009132
eoSupportCell,0.200913242009132
muscleCell,0.200913242009132
legMuscleMotorNeuron,0.19634703196347
epithelialCell,0.191780821917808
follicleCell,0.187214611872146
follicleCellSt_9_,0.187214611872146
multidendriticNeuron,0.187214611872146
escortCell,0.182648401826484
indirectFlightMuscle,0.182648401826484
spermatocyte,0.182648401826484
adultReticularNeuropilAssociatedGlialCell,0.17351598173516
adultGlialCell,0.168949771689498
adultVentralNervousSystem,0.168949771689498
CNSSurfaceAssociatedGlialCell,0.164383561643836
legTasteBristleChemosensoryNeuron,0.159817351598174
perineurialGlialSheath,0.150684931506849
hemocyte,0.146118721461187
adultPeripheralNervousSystem,0.123287671232877
scolopidialNeuron,0.123287671232877
gustatoryReceptorNeuron,0.118721461187215
prefollicleCell_stalkFollicleCell,0.100456621004566
polarFollicleCell,0.0776255707762557
