"Subsystem","Count"
"Vitamin D metabolism",4
"Retinol metabolism",3
"Folate metabolism",2
"Glycolysis / Gluconeogenesis",2
"Leukotriene metabolism",2
"Nicotinate and nicotinamide metabolism",2
"Propanoate metabolism",2
"Vitamin B12 metabolism",2
"Alanine, aspartate and glutamate metabolism",1
"Butanoate metabolism",1
"Glycine, serine and threonine metabolism",1
"Phenylalanine, tyrosine and tryptophan biosynthesis",1
"Purine metabolism",1
"Starch and sucrose metabolism",1
"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",1
