"Reaction_ID","Subsystem","Reaction_Formula","Associated_Metabolites","Metabolite_IDs","Associated_Genes","Gene_Rules","FBA_Difference","pFBA_Difference","Sampling_Difference","FBA_Inc","pFBA_Inc","Sampling_Inc","FBA_Dec","pFBA_Dec","Sampling_Dec"
"MAR04137","Glycolysis / Gluconeogenesis",NA,"acetyl-CoA [Mitochondria]; CO2 [Mitochondria]; CoA [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; pyruvate [Mitochondria]","MAM01261m[m]; MAM01596m[m]; MAM01597m[m]; MAM02552m[m]; MAM02553m[m]; MAM02819m[m]","CG7430; Pdha; Pdhb; muc","CG7430 and Pdha and Pdhb and muc",0,0,37.6042002690293,0,0,1,0,0,0
"MAR04281","Glycolysis / Gluconeogenesis",NA,"H+ [Peroxisome]; L-lactate [Peroxisome]; NAD+ [Peroxisome]; NADH [Peroxisome]; pyruvate [Peroxisome]","MAM02039p[p]; MAM02403p[p]; MAM02552p[p]; MAM02553p[p]; MAM02819p[p]","TSG101","TSG101",0,0,0.142720958667331,0,0,1,0,0,0
"MAR04388","Glycolysis / Gluconeogenesis",NA,"H+ [Cytosol]; L-lactate [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; pyruvate [Cytosol]","MAM02039c[c]; MAM02403c[c]; MAM02552c[c]; MAM02553c[c]; MAM02819c[c]","TSG101","TSG101",-558.851497756123,-232.351284714705,-187.008837421757,0,0,0,1,1,1
"MAR08357","Glycolysis / Gluconeogenesis",NA,"acetaldehyde [Mitochondria]; acetate [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM01249m[m]; MAM01252m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]","Aldh; Aldh-III","Aldh or Aldh-III",-1.30982774856388,0,-0.234587998078636,0,0,0,1,0,1
"MAR04373","Glycolysis / Gluconeogenesis",NA,"1,3-bisphospho-D-glycerate [Cytosol]; GAP [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; Pi [Cytosol]","MAM00247c[c]; MAM01939c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]; MAM02751c[c]","Gapdh1; Gapdh2","Gapdh1 or Gapdh2",-700,-700,-699.493425126585,0,0,0,1,1,1
"MAR04122","Starch and sucrose metabolism",NA,"H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; UDP-glucose [Cytosol]; UDP-glucuronate [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM03108c[c]; MAM03109c[c]","sgl","sgl",-0.0927590075898105,-0.0926662485822207,-0.22347946258856,0,0,0,1,1,1
"MAR01568","Pyruvate metabolism",NA,"acetaldehyde [Cytosol]; acetate [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01249c[c]; MAM01252c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","Aldh-III","Aldh-III",0,0,-0.0162859421261556,0,0,0,0,0,1
"MAR03854","Pyruvate metabolism",NA,"H+ [Cytosol]; lactaldehyde [Cytosol]; methylglyoxal [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM02039c[c]; MAM02329c[c]; MAM02475c[c]; MAM02552c[c]; MAM02553c[c]","Akr1B","Akr1B",0,0,0.083701269618536,0,0,1,0,0,0
"MAR04087","Pyruvate metabolism",NA,"CO2 [Mitochondria]; malate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; pyruvate [Mitochondria]","MAM01596m[m]; MAM02439m[m]; MAM02552m[m]; MAM02553m[m]; MAM02819m[m]","Men; Men-b","Men or Men-b",0,0,1.05732643445627,0,0,1,0,0,0
"MAR08503","Pyruvate metabolism",NA,"H+ [Cytosol]; H2O [Cytosol]; lactaldehyde [Cytosol]; L-lactate [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02329c[c]; MAM02403c[c]; MAM02552c[c]; MAM02553c[c]","Aldh-III","Aldh-III",0,0,-0.0876411189663846,0,0,0,0,0,1
