Model,Reaction_ID,Reaction_Name,Reaction_Equation,Subsystem,Genes,Gene_Rules,Reversible,FBA_Flux,pFBA_Flux,Flux_Change,Abs_Flux_Change,Percent_Change,Is_Cycling_Candidate
NSD,MAR04137,"","CoA [Mitochondria][m] + NAD+ [Mitochondria][m] + pyruvate [Mitochondria][m] => acetyl-CoA [Mitochondria][m] + CO2 [Mitochondria][m] + NADH [Mitochondria][m]","Glycolysis / Gluconeogenesis",CG7430; Pdha; Pdhb; muc,CG7430 and Pdha and Pdhb and muc,0,0,0,0,0,0,0
NSD,MAR04388,"","H+ [Cytosol][c] + NADH [Cytosol][c] + pyruvate [Cytosol][c] <=> L-lactate [Cytosol][c] + NAD+ [Cytosol][c]","Glycolysis / Gluconeogenesis",TSG101,TSG101,1,385.978831388278,450.227602233364,-64.2487708450865,64.2487708450865,-16.6456721509826,0
NSD,MAR04283,"","acetaldehyde [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c] => acetate [Cytosol][c] + 2 H+ [Cytosol][c] + NADPH [Cytosol][c]","Glycolysis / Gluconeogenesis",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR08357,"","acetaldehyde [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m] => acetate [Mitochondria][m] + 2 H+ [Mitochondria][m] + NADH [Mitochondria][m]","Glycolysis / Gluconeogenesis",Aldh; Aldh-III,Aldh or Aldh-III,0,1.30982774856388,0,1.30982774856388,1.30982774856388,100,0
NSD,MAR04373,"","1,3-bisphospho-D-glycerate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] <=> GAP [Cytosol][c] + NAD+ [Cytosol][c] + Pi [Cytosol][c]","Glycolysis / Gluconeogenesis",Gapdh1; Gapdh2,Gapdh1 or Gapdh2,1,-1000,-1000,0,0,0,0
NSD,MAR04122,"","H2O [Cytosol][c] + 2 NAD+ [Cytosol][c] + UDP-glucose [Cytosol][c] => 3 H+ [Cytosol][c] + 2 NADH [Cytosol][c] + UDP-glucuronate [Cytosol][c]","Starch and sucrose metabolism",sgl,sgl,0,0.232866600316978,0.232633733716661,0.000232866600316989,0.000232866600316989,0.100000000000005,0
NSD,MAR06537,"","glucuronate [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] <=> L-gulonate [Cytosol][c] + NADP+ [Cytosol][c]","Pentose and glucuronate interconversions",CG2767,CG2767,1,0,0,0,0,0,0
NSD,MAR01568,"","acetaldehyde [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => acetate [Cytosol][c] + 2 H+ [Cytosol][c] + NADH [Cytosol][c]","Pyruvate metabolism",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR03854,"","H+ [Cytosol][c] + methylglyoxal [Cytosol][c] + NADH [Cytosol][c] => lactaldehyde [Cytosol][c] + NAD+ [Cytosol][c]","Pyruvate metabolism",Akr1B,Akr1B,0,0,0,0,0,0,0
NSD,MAR04087,"","malate [Mitochondria][m] + NAD+ [Mitochondria][m] => CO2 [Mitochondria][m] + NADH [Mitochondria][m] + pyruvate [Mitochondria][m]","Pyruvate metabolism",Men; Men-b,Men or Men-b,0,0,0,0,0,0,0
