Model,Reaction,FBA_Flux,pFBA_Flux,Flux_Reduction,Percent_Reduction
NSD,MAR00478,341.812780121636,0,341.812780121636,100
NSD,MAR00479,341.812780121636,0,341.812780121636,100
NSD,MAR00747,-101.164333001585,-49.4700606781883,51.6942723233965,51.0993062372948
NSD,MAR01009,-347.962836937379,0,347.962836937379,100
NSD,MAR02144,-998.835666998415,1.16316866858331,997.672498329832,99.8835475437037
NSD,MAR02145,-174.039386819992,-17.4475300287496,156.591856791242,89.9749531714936
NSD,MAR02153,-186.413410635067,0,186.413410635067,100
NSD,MAR02157,-1000,0,1000,100
NSD,MAR03931,1000,198.362708728131,801.637291271869,80.1637291271869
NSD,MAR04040,-999.301400199049,-197.664807526981,801.636592672068,80.219700734172
NSD,MAR05988,-999.301400199049,0,999.301400199049,100
NSD,MAR06283,999.301400199049,0,999.301400199049,100
HSD,MAR00478,125.936872201325,0,125.936872201325,100
HSD,MAR00479,125.936872201325,0,125.936872201325,100
HSD,MAR00710,912.428469574369,418.063138119592,494.365331454777,54.181269868244
HSD,MAR00747,-100.700537963636,-0.699837425672202,100.000700537964,99.3050310953404
HSD,MAR00869,1000,0,1000,100
HSD,MAR00965,1000,0,1000,100
HSD,MAR01009,-416.592986302457,0,416.592986302457,100
HSD,MAR02144,-1000,4.18787693257178,995.812123067428,99.5812123067428
HSD,MAR02145,-229.540780069386,-10.497561385083,219.043218684303,95.4267118104636
HSD,MAR02153,1000,0,1000,100
HSD,MAR02157,-1000,0,1000,100
HSD,MAR03931,1000,98.4537324768172,901.546267523183,90.1546267523183
HSD,MAR04040,-999.579677221819,-98.0338300214139,901.545847200405,90.1924946799755
HSD,MAR05297,-1000,0,1000,100
HSD,MAR05351,1000,0,1000,100
