Model,Reaction_ID,Reaction_Name,Reaction_Equation,Subsystem,Genes,Gene_Rules,Reversible,FBA_Flux,pFBA_Flux,Flux_Reduction,Percent_Reduction
NSD,MAR08507,,"NAD+ [Cytosol][c] + propane-1,2-diol [Cytosol][c] => D-lactaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Pyruvate metabolism",Fdh,Fdh,0,341.812780121636,0,341.812780121636,100
NSD,MAR08509,,"D-lactaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + propane-1,2-diol [Cytosol][c]","Pyruvate metabolism",CG2767,CG2767,0,341.812780121636,0,341.812780121636,100
NSD,MAR05351,,"2-hydroxybutyrate [Cytosol][c] + NAD+ [Cytosol][c] <=> 2-oxobutyrate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Butanoate metabolism",TSG101,TSG101,1,-101.164333001585,-49.4700606781883,51.6942723233965,51.0993062372948
NSD,MAR06409,,"H+ [Mitochondria][m] + lipoamide [Mitochondria][m] + NADH [Mitochondria][m] <=> dihydrolipoamide [Mitochondria][m] + NAD+ [Mitochondria][m]","Glycine, serine and threonine metabolism",CG3999; CG6415; CG7430; ppl,CG3999 and CG6415 and CG7430 and ppl,1,-347.962836937379,0,347.962836937379,100
NSD,MAR03958,,"isocitrate [Mitochondria][m] + NADP+ [Mitochondria][m] => AKG [Mitochondria][m] + CO2 [Mitochondria][m] + NADPH [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,0,-998.835666998415,1.16316866858331,997.672498329832,99.8835475437037
NSD,MAR04139,,"H+ [Cytosol][c] + NADH [Cytosol][c] + OAA [Cytosol][c] <=> malate [Cytosol][c] + NAD+ [Cytosol][c]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Mdh1,Mdh1,1,-174.039386819992,-17.4475300287496,156.591856791242,89.9749531714936
NSD,MAR04585,,"H+ [Cytosol][c] + NADPH [Cytosol][c] + oxalosuccinate [Cytosol][c] <=> isocitrate [Cytosol][c] + NADP+ [Cytosol][c]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,1,-186.413410635067,0,186.413410635067,100
NSD,MAR04588,,"H+ [Mitochondria][m] + NADH [Mitochondria][m] + oxalosuccinate [Mitochondria][m] <=> isocitrate [Mitochondria][m] + NAD+ [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,1,-1000,0,1000,100
NSD,MAR06638,,"11-cis-retinal [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] <=> 11-cis-retinol [Cytosol][c] + NAD+ [Cytosol][c]","Retinol metabolism",CG8888,CG8888,1,1000,198.362708728131,801.637291271869,80.1637291271869
NSD,MAR08709,,"11-cis-retinal [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] <=> 11-cis-retinol [Cytosol][c] + NADP+ [Cytosol][c]","Retinol metabolism",CG8888,CG8888,1,-999.301400199049,-197.664807526981,801.636592672068,80.219700734172
NSD,MAR02196,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase Tyrosine Metabolism,"H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + 3-methoxy-4-hydroxyphenylglycolaldehyde [Mitochondria][m] <=> 2 H+ [Mitochondria][m] + NADH [Mitochondria][m] + vanillylmandelate [Mitochondria][m]","Miscellaneous",Aldh-III,Aldh-III,1,-999.301400199049,0,999.301400199049,100
NSD,MAR02197,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase Tyrosine Metabolism,"H2O [Mitochondria][m] + NADP+ [Mitochondria][m] + 3-methoxy-4-hydroxyphenylglycolaldehyde [Mitochondria][m] => 2 H+ [Mitochondria][m] + NADPH [Mitochondria][m] + vanillylmandelate [Mitochondria][m]","Miscellaneous",Aldh-III,Aldh-III,0,999.301400199049,0,999.301400199049,100
HSD,MAR08507,,"NAD+ [Cytosol][c] + propane-1,2-diol [Cytosol][c] => D-lactaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Pyruvate metabolism",Fdh,Fdh,0,125.936872201325,0,125.936872201325,100
HSD,MAR08509,,"D-lactaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + propane-1,2-diol [Cytosol][c]","Pyruvate metabolism",CG2767,CG2767,0,125.936872201325,0,125.936872201325,100
HSD,MAR04280,,"H+ [Mitochondria][m] + NADH [Mitochondria][m] + pyruvate [Mitochondria][m] <=> L-lactate [Mitochondria][m] + NAD+ [Mitochondria][m]","Pyruvate metabolism",TSG101,TSG101,1,912.428469574369,418.063138119592,494.365331454777,54.181269868244
HSD,MAR05351,,"2-hydroxybutyrate [Cytosol][c] + NAD+ [Cytosol][c] <=> 2-oxobutyrate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Butanoate metabolism",TSG101,TSG101,1,-100.700537963636,-0.699837425672202,100.000700537964,99.3050310953404
HSD,MAR04784,,"2 H2O [Mitochondria][m] + L-1-pyrroline-3-hydroxy-5-carboxylate [Mitochondria][m] + NAD+ [Mitochondria][m] => H+ [Mitochondria][m] + L-erythro-4-hydroxyglutamate [Mitochondria][m] + NADH [Mitochondria][m]","Arginine and proline metabolism",P5CDh1,P5CDh1,0,1000,0,1000,100
HSD,MAR08097,,"2 H+ [Mitochondria][m] + L-erythro-4-hydroxyglutamate [Mitochondria][m] + NADH [Mitochondria][m] <=> H2O [Mitochondria][m] + L-4-hydroxyglutamate semialdehyde [Mitochondria][m] + NAD+ [Mitochondria][m]","Arginine and proline metabolism",P5CDh1,P5CDh1,1,1000,0,1000,100
HSD,MAR06409,,"H+ [Mitochondria][m] + lipoamide [Mitochondria][m] + NADH [Mitochondria][m] <=> dihydrolipoamide [Mitochondria][m] + NAD+ [Mitochondria][m]","Glycine, serine and threonine metabolism",CG3999; CG6415; CG7430; ppl,CG3999 and CG6415 and CG7430 and ppl,1,-416.592986302457,0,416.592986302457,100
HSD,MAR03958,,"isocitrate [Mitochondria][m] + NADP+ [Mitochondria][m] => AKG [Mitochondria][m] + CO2 [Mitochondria][m] + NADPH [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,0,-1000,4.18787693257178,995.812123067428,99.5812123067428
