"Gene","Count","Direction"
"CG10361",1,"Increased"
"CG16935",1,"Increased"
"CG5592",1,"Increased"
"CG5955",1,"Increased"
"CG6231",1,"Increased"
"CG7461",1,"Increased"
"gb",2,"Increased"
"Got1",2,"Increased"
"Got2",2,"Increased"
"hrm",1,"Increased"
"kar",1,"Increased"
"kdn",1,"Increased"
"Mcad",1,"Increased"
"Mdh2",1,"Increased"
"mnd",2,"Increased"
"Mpcp1",1,"Increased"
"Mpcp2",1,"Increased"
"Scsα1",1,"Increased"
"ScsβA",1,"Increased"
"Acsl",2,"Decreased"
"Ak2",1,"Decreased"
"Ak3",2,"Decreased"
"AlaRS",1,"Decreased"
"Ald1",1,"Decreased"
"Amy-p",7,"Decreased"
"ArgRS",1,"Decreased"
"AsnRS",1,"Decreased"
"AspRS",1,"Decreased"
"awd",1,"Decreased"
"CD98hc",1,"Decreased"
"CG13907",2,"Decreased"
"CG17036",1,"Decreased"
"CG3961",2,"Decreased"
"CG5592",1,"Decreased"
"CG6231",1,"Decreased"
"chk",2,"Decreased"
"Cmpk",1,"Decreased"
"CysRS",1,"Decreased"
"Dhfr",2,"Decreased"
"Dic1",2,"Decreased"
"DPCoAC",1,"Decreased"
"Eno",1,"Decreased"
"Fatp1",1,"Decreased"
"Gapdh1",1,"Decreased"
"Gapdh2",1,"Decreased"
"gb",1,"Decreased"
"GlnRS",1,"Decreased"
"GluProRS",2,"Decreased"
"GlyRS",1,"Decreased"
"GS",1,"Decreased"
"Hex-A",1,"Decreased"
"HisRS",1,"Decreased"
"hrm",2,"Decreased"
"IleRS",1,"Decreased"
"LeuRS",1,"Decreased"
"LysRS",1,"Decreased"
"Men",1,"Decreased"
"MetRS",1,"Decreased"
"mnd",1,"Decreased"
"MRP",1,"Decreased"
"Nurf-38",1,"Decreased"
"Oatp74D",1,"Decreased"
"Pbgs",1,"Decreased"
"Pdp1",1,"Decreased"
"Pfk",1,"Decreased"
"Pgi",1,"Decreased"
"Pgk",1,"Decreased"
"Pglym78",1,"Decreased"
"pn",1,"Decreased"
"schlank",1,"Decreased"
"SerRS",1,"Decreased"
"Sfxn1-3",1,"Decreased"
"Shmt",1,"Decreased"
"sun",1,"Decreased"
"Tango1",1,"Decreased"
"ThrRS",1,"Decreased"
"Tpi",1,"Decreased"
"Tret1-1",1,"Decreased"
"TrpRS",1,"Decreased"
"TSG101",1,"Decreased"
"TyrRS",1,"Decreased"
"ValRS",1,"Decreased"
"α-PheRS",1,"Decreased"
"β-PheRS",1,"Decreased"
