"Category","Count"
"Filtered_Increased_FBA_only",85
"Filtered_Increased_pFBA_only",14
"Filtered_Increased_Sampling_only",260
"Filtered_Increased_FBA_pFBA",7
"Filtered_Increased_FBA_Sampling",43
"Filtered_Increased_pFBA_Sampling",14
"Filtered_Increased_All_three",18
"Filtered_Decreased_FBA_only",60
"Filtered_Decreased_pFBA_only",20
"Filtered_Decreased_Sampling_only",263
"Filtered_Decreased_FBA_pFBA",9
"Filtered_Decreased_FBA_Sampling",50
"Filtered_Decreased_pFBA_Sampling",28
"Filtered_Decreased_All_three",77
