"Reaction_ID","Subsystem","Reaction_Formula","Associated_Metabolites","Metabolite_IDs","Associated_Genes","Gene_Rules","FBA_Difference","pFBA_Difference","Sampling_Difference"
"MAR03847","Glycine, serine and threonine metabolism",NA,"acetyl-CoA [Mitochondria]; CoA [Mitochondria]; glycine [Mitochondria]; L-2-amino-3-oxobutanoic acid [Mitochondria]","MAM01261m[m]; MAM01597m[m]; MAM01986m[m]; MAM02321m[m]","CG10361","CG10361",5.60430370908671,3.48803950689958,2.07404674774904
"MAR06725","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"AKG [Cytosol]; glutamate [Cytosol]; phenylalanine [Cytosol]; phenylpyruvate [Cytosol]","MAM01306c[c]; MAM01974c[c]; MAM02724c[c]; MAM02725c[c]","Got1; Got2","Got1 or Got2",607.397980299887,1.71121762861805,335.240561745309
"MAR06768","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"4-hydroxyphenylpyruvate [Cytosol]; AKG [Cytosol]; glutamate [Cytosol]; tyrosine [Cytosol]","MAM01005c[c]; MAM01306c[c]; MAM01974c[c]; MAM03101c[c]","Got1; Got2","Got1 or Got2",50.7005379636358,50.6998374256722,44.3425869194218
"MAR06782","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"4-hydroxyphenyllactate [Cytosol]; 4-hydroxyphenylpyruvate [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01004c[c]; MAM01005c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","No genes associated","No rule available",50.7005379636358,50.6998374256722,44.3425869194235
"MAR06783","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"4-coumarate [Cytosol]; 4-hydroxyphenyllactate [Cytosol]; H2O [Cytosol]","MAM00981c[c]; MAM01004c[c]; MAM02040c[c]","No genes associated","No rule available",50.7005379636358,50.6998374256722,44.3425869194185
"MAR04141","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"H+ [Mitochondria]; malate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; OAA [Mitochondria]","MAM02039m[m]; MAM02439m[m]; MAM02552m[m]; MAM02553m[m]; MAM02633m[m]","Mdh2","Mdh2",92.7120390967684,3.02470826398848,24.1006628013954
"MAR04145","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"acetyl-CoA [Mitochondria]; citrate [Mitochondria]; CoA [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; OAA [Mitochondria]","MAM01261m[m]; MAM01587m[m]; MAM01597m[m]; MAM02039m[m]; MAM02040m[m]; MAM02633m[m]","kdn","kdn",92.7120390967684,3.02470826398848,24.1864399512175
"MAR04152","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"ADP [Mitochondria]; ATP [Mitochondria]; CoA [Mitochondria]; Pi [Mitochondria]; succinate [Mitochondria]; succinyl-CoA [Mitochondria]","MAM01285m[m]; MAM01371m[m]; MAM01597m[m]; MAM02751m[m]; MAM02943m[m]; MAM02944m[m]","Scsα1; ScsβA","Scsα1 and ScsβA",15.2310207569602,78.3436160023812,85.2658621245009
"MAR05074","Transport reactions",NA,"tyrosine [Cytosol]; tyrosine [Extracellular]","MAM03101c[c]; MAM03101e[e]","gb; kar; mnd","gb or kar or mnd",43.7436123944001,43.7498687820056,46.7264708415711
"MAR05079","Transport reactions",NA,"serine [Cytosol]; serine [Extracellular]","MAM02896c[c]; MAM02896e[e]","gb; mnd","gb or mnd",287.087283491652,46.6091725497687,18.1144498162852
"MAR05043","Transport reactions",NA,"H+ [Mitochondria]; Pi [Cytosol]; Pi [Mitochondria]; H+ [Inner mitochondria]","MAM02039m[m]; MAM02751c[c]; MAM02751m[m]; MAM02039i[i]","Mpcp1; Mpcp2","Mpcp1 or Mpcp2",238.08001482798,239.850452733967,168.546713667045
"MAR05117","Transport reactions",NA,"threonine [Cytosol]; threonine [Mitochondria]","MAM02993c[c]; MAM02993m[m]","No genes associated","No rule available",5.6043037090867,3.48803950689958,2.07404674775041
"MAR11442","Transport reactions",NA,"H+ [Cytosol]; H+ [Extracellular]; phenylpyruvate [Cytosol]; phenylpyruvate [Extracellular]","MAM02039c[c]; MAM02039e[e]; MAM02725c[c]; MAM02725e[e]","hrm","hrm",607.397980299887,1.71121762861805,333.077392610344
"MAR11756","Transport reactions",NA,"4-coumarate [Cytosol]; hydroxide [Cytosol]; hydroxide [Extracellular]; 4-coumarate [Extracellular]","MAM00981c[c]; MAM02147c[c]; MAM02147e[e]; MAM00981e[e]","CG5592; CG6231","CG5592 or CG6231",50.7005379636358,50.6998374256722,44.3361240706833
"MAR20001","Glycine, serine and threonine metabolism",NA,"H+ [Mitochondria]; L-2-amino-3-oxobutanoic acid [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; threonine [Mitochondria]","MAM02039m[m]; MAM02321m[m]; MAM02552m[m]; MAM02553m[m]; MAM02993m[m]","CG5955","CG5955",5.6043037090867,3.48803950689958,2.07404674775204
