"Gene","Count","Subsystem"
"gb",2,"Transport reactions"
"mnd",2,"Transport reactions"
"CG5592",1,"Transport reactions"
"CG6231",1,"Transport reactions"
"hrm",1,"Transport reactions"
"Got1",2,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"Got2",2,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"kdn",1,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism"
"Mdh2",1,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism"
"Scsα1",1,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism"
"ScsβA",1,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism"
