b_1,b_2
dUTPase,
dUTPase,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
CG8112,
sea,91780207.9565
Fum1,40421392.051
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
CG4598 Dci Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα,18757855.3627
Echs1 Mtpα Mtpβ,18757855.3627
Echs1 Mtpα Mtpβ,18757855.3627
Echs1 Mtpα Mtpβ,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CG7461 Mtpα,18757855.3627
CAH1,17570142.5797
APP-BP1 CAH1 CAH15 CAH6 CAH7 CAH9,17570142.5797
APP-BP1 CAH1 CAH15 CAH6 CAH7 CAH9,17570142.5797
APP-BP1 CAH1 CAH15 CAH6 CAH7 CAH9,17570142.5797
CAH1,17570142.5797
AP-1γ APP-BP1 CAH1 CAH15 CAH6 CAH7 CAH9,17570142.5797
Paics,16107026.1107
AdSL gw,10033821.6338
AdSL gw,10033821.6338
CG5948 Sod1 Sod2 Sod3,8709984.14316
Sod1,8709984.14316
Sod1,8709984.14316
Pbgs,6605245.40829
Hmgcl,3271411.44894
Sply,2617959.01845
Sply,2617959.01845
Sply,2617959.01845
Sply,2617959.01845
Rpp14a,2414513.37317
Rpp14a,2414513.37317
Rpp14a,2414513.37317
CG11134,1972684.10915
Hacd1,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
