Reaction ID	Equation	Genes	Compartment
MAR01169	FAD [m] + sn-glycerol-3-phosphate [c] ⇒ DHAP [c] + FADH2 [m]	Gpo1	Cytosol + Mitochondria
MAR03905	NAD+ [c] + ethanol [c] ⇒ H+ [c] + NADH [c] + acetaldehyde [c]	T3dh; Fdh	Cytosol
MAR03907	NADP+ [c] + ethanol [c] ⇒ H+ [c] + NADPH [c] + acetaldehyde [c]	CG2767	Cytosol
MAR04097	ATP [c] + CoA [c] + acetate [c] ⇒ AMP [c] + PPi [c] + acetyl-CoA [c]	AcCoAS	Cytosol
MAR04099	ATP [m] + CoA [m] + acetate [m] ⇒ AMP [m] + PPi [m] + acetyl-CoA [m]	CG6432	Mitochondria
MAR04108	CoA [c] + acetyl adenylate [c] ⇒ AMP [c] + H+ [c] + acetyl-CoA [c]	AcCoAS	Cytosol
MAR04133	ATP [c] + H+ [c] + acetate [c] ⇒ PPi [c] + acetyl adenylate [c]	AcCoAS	Cytosol
MAR04137	CoA [m] + NAD+ [m] + pyruvate [m] ⇒ CO2 [m] + NADH [m] + acetyl-CoA [m]	CG7430; Pdha; Pdhb; muc	Mitochondria
MAR04281	H+ [x] + NADH [x] + pyruvate [x] ⇔ L-lactate [x] + NAD+ [x]	TSG101; Ldh	Peroxisome
MAR04283	H2O [c] + NADP+ [c] + acetaldehyde [c] ⇒ 2 H+ [c] + NADPH [c] + acetate [c]	Aldh-III; CG31075	Cytosol
MAR04301	UTP [c] + fructose-6-phosphate [c] ⇒ H+ [c] + UDP [c] + fructose-1,6-bisphosphate [c]	Pfk; CG14995	Cytosol
MAR04355	DHAP [c] + erythrose-4-phosphate [c] ⇒ sedoheptulose-1,7-bisphosphate [c]	Ald1	Cytosol
MAR04358	ADP [c] + H+ [c] + PEP [c] ⇒ ATP [c] + pyruvate [c]	Ih; PyK	Cytosol
MAR04363	2-phospho-D-glycerate [c] ⇔ H2O [c] + PEP [c]	Eno	Cytosol
MAR04365	2-phospho-D-glycerate [c] ⇔ 3-phospho-D-glycerate [c]	CG7059; Pglym78	Cytosol
MAR04368	1,3-bisphospho-D-glycerate [c] + ADP [c] ⇔ 3-phospho-D-glycerate [c] + ATP [c]	CG30486; Pgk; Tango1; CG8483	Cytosol
MAR04370	1,3-bisphospho-D-glycerate [c] + H2O [c] ⇒ 3-phospho-D-glycerate [c] + H+ [c] + Pi [c]	Acyp2; CG14022; CG34161; CG18371	Cytosol
MAR04371	1,3-bisphospho-D-glycerate [c] ⇒ 2,3-bisphospho-D-glycerate [c] + H+ [c]	CG7059; Pglym78	Cytosol
MAR04372	2,3-bisphospho-D-glycerate [c] + H2O [c] ⇒ 3-phospho-D-glycerate [c] + Pi [c]	CG7059	Cytosol
MAR04373	1,3-bisphospho-D-glycerate [c] + H+ [c] + NADH [c] ⇔ GAP [c] + NAD+ [c] + Pi [c]	Gapdh2; Gapdh1; CG9010	Cytosol
MAR04375	DHAP [c] + GAP [c] ⇔ fructose-1,6-bisphosphate [c]	Ald1	Cytosol
MAR04377	H2O [c] + fructose-1,6-bisphosphate [c] ⇒ Pi [c] + fructose-6-phosphate [c]	fbp	Cytosol
MAR04379	ATP [c] + fructose-6-phosphate [c] ⇒ ADP [c] + H+ [c] + fructose-1,6-bisphosphate [c]	Pfk	Cytosol
MAR04381	fructose-6-phosphate [c] ⇔ glucose-6-phosphate [c]	Pgi	Cytosol
MAR04388	H+ [c] + NADH [c] + pyruvate [c] ⇔ L-lactate [c] + NAD+ [c]	TSG101; Ldh	Cytosol
MAR04391	DHAP [c] ⇔ GAP [c]	Tpi	Cytosol
MAR04394	ATP [c] + glucose [c] ⇒ ADP [c] + H+ [c] + glucose-6-phosphate [c]	Hex-A	Cytosol
MAR04396	glucose-1-phosphate [c] ⇔ glucose-6-phosphate [c]	Pgm1; Pgm2b; Pgm2a	Cytosol
MAR04521	H2O [r] + glucose-6-phosphate [r] ⇒ Pi [r] + glucose [r]	G6P	Endoplasmic reticulum
MAR06410	H+ [m] + lipoamide [m] + pyruvate [m] ⇒ CO2 [m] + S-acetyldihydrolipoamide [m]	Pdha; Pdhb	Mitochondria
MAR06412	CoA [m] + S-acetyldihydrolipoamide [m] ⇒ acetyl-CoA [m] + dihydrolipoamide [m]	CG7430; Pdhb; Pdha; muc	Mitochondria
MAR07745	beta-D-glucose [c] ⇔ glucose [c]	CG10467	Cytosol
MAR07747	ADP [c] + glucose [c] ⇒ AMP [c] + H+ [c] + glucose-6-phosphate [c]	CG6650	Cytosol
MAR08357	H2O [m] + NAD+ [m] + acetaldehyde [m] ⇒ 2 H+ [m] + NADH [m] + acetate [m]	Aldh7A1; Aldh; Aldh-III	Mitochondria
MAR08360	H2O2 [x] + ethanol [x] ⇒ 2 H2O [x] + acetaldehyde [x]	Cat	Peroxisome
MAR08652	carbamoyl-phosphate [r] + glucose [r] ⇒ CO2 [r] + NH3 [r] + glucose-6-phosphate [r]	G6P	Endoplasmic reticulum
MAR08757	H+ [c] + NADPH [c] + O2 [c] + ethanol [c] ⇒ 2 H2O [c] + NADP+ [c] + acetaldehyde [c]	Cyp18a1	Cytosol
