Reaction ID	Equation	Genes	C/P	Subsystem	Compartment
MAR00044	NAD+ [c] + hydracrylate [c] ⇔ 3-oxopropanoate [c] + H+ [c] + NADH [c]		consume/produce	Propanoate metabolism	Cytosol
MAR00067	2(S)-pristanal [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + NADH [c] + pristanic acid [c]	Aldh-III	consume	Fatty acid oxidation	Cytosol
MAR00144	H+ [c] + NADH [c] + O2 [c] + palmitoyl-CoA [c] ⇒ 2 H2O [c] + NAD+ [c] + palmitoleoyl-CoA [c]	Desat1	produce	Fatty acid biosynthesis	Cytosol
MAR00146	H+ [c] + NADH [c] + O2 [c] + stearoyl-CoA [c] ⇒ 2 H2O [c] + NAD+ [c] + oleoyl-CoA [c]	Desat1	produce	Fatty acid biosynthesis	Cytosol
MAR00147	H+ [c] + NADH [c] + O2 [c] + stearoyl-CoA [c] ⇒ 11-Octadecenoyl Coenzyme A [c] + 2 H2O [c] + NAD+ [c]	Desat1	produce	Fatty acid biosynthesis	Cytosol
MAR00148	H+ [c] + NADH [c] + O2 [c] + stearoyl-CoA [c] ⇒ (2E)-octadecenoyl-CoA [c] + 2 H2O [c] + NAD+ [c]	Desat1	produce	Fatty acid biosynthesis	Cytosol
MAR00456	H2O [c] + NAD+ [c] + glyceraldehyde [c] ⇒ 2 H+ [c] + NADH [c] + glycerate [c]	Aldh-III; Aldh7A1; Aldh	consume	Glycerolipid metabolism	Cytosol
MAR00479	DHAP [c] + H+ [c] + NADH [c] ⇒ NAD+ [c] + sn-glycerol-3-phosphate [c]	Gpdh1	produce	Glycerophospholipid metabolism	Cytosol
MAR00719	AKG [c] + H+ [c] + NADH [c] ⇒ 2-hydroxyglutarate [c] + NAD+ [c]	CG6287	produce	Butanoate metabolism	Cytosol
MAR00990	15(S)-HETE [c] + NAD+ [c] ⇒ 15-oxoETE [c] + H+ [c] + NADH [c]		consume	Arachidonic acid metabolism	Cytosol
MAR01065	11,12-EET [c] + ATP [c] + CoA [c] + 2 H2O [c] + NAD+ [c] + O2 [c] ⇒ 9,10-epoxy-(6Z,12Z)-octadecadienoic acid [c] + AMP [c] + H2O2 [c] + NADH [c] + PPi [c] + acetyl-CoA [c]	Mfe2; Fatp2; Amacr; Echs1; scu; yip2; Acsf2; ACOX1; Acox3; Mtpβ; Fatp1; Acsf3; Mtpα; Aasdh	consume	Arachidonic acid metabolism	Cytosol
MAR01066	9,10-epoxy-(6Z,12Z)-octadecadienoic acid [c] + ATP [c] + CoA [c] + 2 H2O [c] + NAD+ [c] + O2 [c] ⇒ 7,8-epoxy-(4Z,10Z)-hexadecadienoic acid [c] + AMP [c] + 2 H+ [c] + H2O2 [c] + NADH [c] + PPi [c] + acetyl-CoA [c]	scu; ACOX1; Acox3; Mtpα; yip2; Fatp2; Amacr; Echs1; Mfe2; Mtpβ; Acsf2; Acsf3; Aasdh; Fatp1	consume	Arachidonic acid metabolism	Cytosol
MAR01067	7,8-epoxy-(4Z,10Z)-hexadecadienoic acid [c] + ATP [c] + CoA [c] + 2 H2O [c] + NAD+ [c] + O2 [c] ⇒ 5,6-epoxy-(8Z)-tetradecenoic acid [c] + AMP [c] + H2O2 [c] + NADH [c] + PPi [c] + acetyl-CoA [c]	Mfe2; Mtpβ; Mtpα; Acsf3; Fatp2; ACOX1; Echs1; Aasdh; yip2; scu; Acsf2; Acox3; Fatp1; Amacr	consume	Arachidonic acid metabolism	Cytosol
MAR01068	14,15-EET [c] + ATP [c] + CoA [c] + 2 H2O [c] + NAD+ [c] + O2 [c] ⇒ 12,13-epoxy-(6Z,9Z)-octadecadienoic acid [c] + AMP [c] + H2O2 [c] + NADH [c] + PPi [c] + acetyl-CoA [c]	Amacr; scu; Echs1; Fatp2; ACOX1; Acsf2; Fatp1; Mtpβ; Aasdh; Mtpα; yip2; Acox3; Acsf3; Mfe2	consume	Arachidonic acid metabolism	Cytosol
MAR01069	12,13-epoxy-(6Z,9Z)-octadecadienoic acid [c] + ATP [c] + CoA [c] + 2 H2O [c] + NAD+ [c] + O2 [c] ⇒ 10,11-epoxy-(4Z,7Z)-hexadecadienoic acid [c] + AMP [c] + 2 H+ [c] + H2O2 [c] + NADH [c] + PPi [c] + acetyl-CoA [c]	Acox3; Fatp2; scu; Mfe2; Mtpβ; Amacr; ACOX1; Mtpα; Echs1; yip2; Fatp1; Acsf2; Aasdh; Acsf3	consume	Arachidonic acid metabolism	Cytosol
MAR01070	10,11-epoxy-(4Z,7Z)-hexadecadienoic acid [c] + ATP [c] + CoA [c] + H+ [c] + 2 H2O [c] + NAD+ [c] + O2 [c] ⇒ 8,9-epoxy-(5Z)-tetradecenoic acid [c] + AMP [c] + H2O2 [c] + NADH [c] + PPi [c] + acetyl-CoA [c]	Mtpβ; Mtpα; scu; Mfe2; Fatp2; Echs1; Fatp1; Amacr; Acsf2; ACOX1; Acox3; Aasdh; Acsf3; yip2	consume	Arachidonic acid metabolism	Cytosol
MAR01074	12(S)-HETE [c] + H+ [c] + NADH [c] ⇔ 12-hetre [c] + NAD+ [c]	Sc2; spidey	consume/produce	Arachidonic acid metabolism	Cytosol
MAR01097	15-oxo-lipoxin A4 [c] + H+ [c] + NADH [c] ⇔ NAD+ [c] + lipoxin A4 [c]	CG4842; Pdh	consume/produce	Leukotriene metabolism	Cytosol
MAR01100	NAD+ [c] + leukotriene B4 [c] ⇒ 12-keto-LTB4 [c] + H+ [c] + NADH [c]	Dhrs4	consume	Leukotriene metabolism	Cytosol
MAR01129	20-OH-LTB4 [c] + NAD+ [c] ⇔ 20-oxo-LTB4 [c] + H+ [c] + NADH [c]	T3dh; Fdh	consume/produce	Leukotriene metabolism	Cytosol
